id,book_name,author_name,series_name,series_position,subgenres,themes,summary,page_count,publication_year,publisher,awards,target_audience,pacing,tone,writing_style,narrative_structure,setting_type,technology_focus,content_warnings,page_page_count
54,Dracula,Bram Stoker,,,Gothic horror; Vampire fiction,Immortality; Fear of the unknown; Victorian anxieties; Power,Jonathan Harker visits Count Dracula’s castle and uncovers the vampire’s plan to move to England. A group bands together to stop Dracula’s reign of terror.,418.0,1897,Archibald Constable & Co.,,Adult / horror & gothic readers,Moderate; epistolary structure,Atmospheric; Eerie; Romantic dread,"Epistolary (letters, journals); formal Victorian prose",First-person epistolary voices collated,Victorian England; Transylvanian castle,,Violence; Blood; Death; Gothic horror,
55,Frankenstein,Mary Shelley,,,Gothic horror; Science fiction,Creation and responsibility; Isolation; Ambition; Humanity,"Victor Frankenstein creates life by animating assembled body parts, but is horrified by his creature and abandons it. The creature seeks revenge and challenges human limits.",280.0,1818,"Lackington, Hughes, Harding, Mavor & Jones",,Adult / classic literature fans,Moderate; reflective with climactic confrontations,Dark; Tragic; Philosophical,Gothic; Epistolary; Framed narrative,Nested letters and first-person testimonies,"Various — Swiss Alps, Arctic, European locales",Early science / galvanism,Violence; Death; Ethical horror; Moral questions,
56,Brave New World,Aldous Huxley,,,Dystopian; Science fiction,Control and conformity; Technology and dehumanization; Freedom; Happiness vs truth,"In a future society, humans are engineered and conditioned into castes. Social order is maintained through pleasure, consumption, and suppression of dissent.",311.0,1932,Chatto & Windus,,Adult / speculative readers,Moderate; thought-driven,Ironic; Detached; Critical,"Clear, satirical, dystopian","Third-person, scenes across characters",Controlled futuristic world,Genetic engineering; Social conditioning; Biotechnology,Psychological control; Dehumanization; Reproductive ethics,
57,1984,George Orwell,,,Dystopian; Political fiction,Totalitarianism; Surveillance; Truth and propaganda; Individual vs state,"In a future totalitarian state, Winston Smith struggles against pervasive surveillance, propaganda, and enforced orthodoxy while seeking independent thought and connection.",328.0,1949,Secker & Warburg,,Adult / political & speculative readers,Steady; tension building,Bleak; Oppressive; Urgent,"Plain, direct, journalistic",Third-person with internal monologue,Totalitarian state (Oceania),Surveillance tech; Newspeak; Propaganda systems,Violence; Torture; Psychological oppression,
58,Fahrenheit 451,Ray Bradbury,,,Dystopian; Science fiction,Censorship; Knowledge and ignorance; Resistance; Individualism,"In a future society where books are outlawed, fireman Guy Montag burns books. He awakens to the value of knowledge and seeks to escape conformity and preserve human memory.",194.0,1953,Ballantine Books,,Adult / speculative readers,Moderate; allegorical,Urgent; Reflective; Dystopian,Poetic; Symbolic; Direct,Third-person with internal reflection,Dystopian future,Mass media; Book burning tech; Communication control,Political repression; Violence; Loss of humanity,
59,Something Wicked This Way Comes,Ray Bradbury,,,Fantasy; Horror; Dark fantasy,Good vs evil; Desire and fear; Coming of age,"Two teenage boys confront a sinister traveling carnival whose proprietor grants dark wishes at dire cost, forcing them to face the power of fear and mortality.",208.0,1962,Simon & Schuster,,Young adult / fantasy horror readers,Steady with tension escalation,Dreamlike; Eerie; Nostalgic,Lyrical; Symbolic; Evocative,Third-person across character arcs,Mid-20th century small town with supernatural overlay,,Menace; Dark magic; Death,
60,The Martian,Andy Weir,,,Hard SF; Survival fiction,Survival; Ingenuity; Isolation; Hope,"Astronaut Mark Watney is stranded on Mars after a mission goes wrong. Using science, engineering, and grit, he struggles to survive until rescue.",369.0,2011,Crown Publishing Group,,Adult / science fiction readers,Fast; problem-solving driven,Optimistic; Tense; Wry,First-person; technical detail; humor blended with peril,Journal / log entries from Watney,Mars surface + orbital/Mission modules,Engineering; Botany; Life support; Space travel,Isolation; Risk of death; Technical failure,
61,Project Hail Mary,Andy Weir,,,Hard SF; First-contact SF,Survival; Cooperation; Science as salvation; Memory and identity,"Ryland Grace awakens aboard an unfamiliar spacecraft with amnesia, and must unravel his mission’s purpose: to save Earth from a solar-dimming threat by working with an alien companion.",496.0,2021,Ballantine Books,Dragon Award for Best Science Fiction Novel,Adult / science fiction readers,Moderate to fast; scientific problem-solving and emotional arcs,Hopeful; Tense; Intellectually driven,First-person with technical exposition; emotional undercurrents,First-person with chronological and flashback elements,Spaceship; interstellar space; alien planet system,Astrophysics; Biotechnology; Communication with alien life,Alien threat; Biological risk; Loss,
62,The Expanse: Caliban’s War,James S. A. Corey,The Expanse,2.0,Space opera; Military SF,First contact; Political tension; Survival; Sacrifice,"After the events of *Leviathan Wakes*, a new alien threat emerges when children in Ganymede are transformed, and Earth, Mars, and the Belt must grapple with conspiracy, war, and the unknown.",560.0,2012,Orbit Books,,Adult / SF readers,Fast-paced; multiple action arcs,Intense; Suspenseful; Gritty,Multi-POV; streamlined; action-forward,"Third-person, shifting between characters","Interplanetary: Earth, Mars, Belt, outer space",Space travel; Alien biotech; Weapons; Politics,Violence; Death; Political intrigue,
63,Abaddon’s Gate,James S. A. Corey,The Expanse,3.0,Space opera; Military SF,Transcendence; Conflict; Discovery; Sacrifice,"As the protomolecule gate opens, human factions race through to explore new realms while tensions and conflicts aboard the ring space ramp up to deadly stakes.",512.0,2013,Orbit Books,,Adult / SF readers,Fast; multi-front conflict,Tense; Epic; Unpredictable,Multi-POV; expansive; narrative-driven,Third-person shifts across factions,Ring gates; interstellar zones; human colonies,Gate technology; Alien tech; Spacecraft systems,Violence; Death; Cosmic danger,
64,Cibola Burn,James S. A. Corey,The Expanse,4.0,Space opera; Colonization SF,Colonial conflict; Resource scarcity; Diplomacy vs force,"Humans move through the gates to colonize new worlds. On Ilus, conflict brews between corporate interests, scientific exploration, and native dangers.",536.0,2014,Orbit Books,,Adult / SF readers,Moderate to fast; tension and worldbuilding,Cerebral; Suspenseful; Political,Multi-POV; detailed; engaging,"Third-person, alternating character perspectives",Alien planet; colonized frontier world,Terraforming; Gate technology; Conflict tech,Violence; Death; Colonial oppression,
65,Nemesis Games,James S. A. Corey,The Expanse,5.0,Space opera; Political SF; Thriller,Division and reunification; Personal histories; Political conflict; Sacrifice; Identity,"The crew of the Rocinante split up to pursue personal matters while a systemic threat in the solar system escalates. As the inner planets descend into turmoil, the crew must reunite to confront existential danger.",536.0,2015,Orbit Books,,Adult / SF readers,Fast; multiple converging arcs,Tense; Emotional; Epic,Third-person limited; multiple viewpoints; interleaving character threads,Alternating POV chapters among main Rocinante crew and other key characters converging toward climax,"Interplanetary: solar system, colonies, stations",Spacecraft systems; Alien-protomolecule tech; Political / military tech,Violence; Political intrigue; Death; Trauma,
66,Persepolis Rising,James S. A. Corey,The Expanse,7.0,Space opera; Political SF,Resurgence; Power shifts; Legacy; Resistance,"Following a decades-long gap, the Laconian regime reemerges as a potent threat. The Rocinante crew must reorganize to resist new tyranny and preserve fragile alliances.",560.0,2017,Orbit Books,,Adult / SF readers,Moderate to fast; multiple threads,Grim; Strategic; Evolving,Third-person limited; multiple viewpoints,Alternating POV chapters (several characters) with framing and interludes (guess),"Interplanetary: colonies, ring gates, Laconia",Gate tech; Spacecraft systems; Political / military tech,Violence; War; Oppression; Betrayal,
67,Tiamat’s Wrath,James S. A. Corey,The Expanse,8.0,Space opera; Epic SF,Sacrifice; Legacy; Power struggles; Cosmic stakes,"In this installment, the stakes escalate as alliances fracture, cosmic power plays intensify, and characters face the ultimate costs of war and choice. The narrative broadens beyond Holden as focal center. ([turn0search3])",544.0,2019,Orbit Books,,Adult / SF readers,Fast; multiple arcs,Epic; Tense; High-stakes,Third-person limited; multiple viewpoints; shifting focus,"Alternating POVs across several protagonists, with interlude and framing sections (guess)","Interplanetary: Laconia, ring gates, human territories",Protomolecule derived tech; Gate tech; Alien relics,Violence; Death; Cosmic danger; Betrayal,
68,Leviathan Falls,James S. A. Corey,The Expanse,9.0,Space opera; Saga conclusion,Resolution; Sacrifice; Legacy; Cosmic balance,"In the final confrontation across human and alien realms, all factions and characters converge in a decisive struggle. The saga concludes with consequences for the entire galaxy.",528.0,2021,Orbit Books,,Adult / SF readers,Fast; climactic convergence,Epic; Emotional; Resolute,Third-person limited; multiple viewpoints; interwoven story threads,Alternating POV chapters converging toward final confrontation,"Space, ring gates, Laconia, human territories",Gate tech; Alien powers; Protomolecule systems,Violence; Death; Cosmic consequences; Loss,
69,Storm Front,Jim Butcher,The Dresden Files,1.0,Urban fantasy; Detective fantasy,Hidden magical world; Power & responsibility; Conflict between normal & supernatural,"Harry Dresden, Chicago’s only professional wizard, investigates a series of magical murders and contends with both mundane law enforcement and supernatural threats. ([turn0search35])",322.0,2000,Penguin Putnam,,Adult / fantasy readers,Moderate; blend of mystery and action,Dark; Suspenseful; Urban,"First-person; direct, gritty narrative","First-person narration by Harry Dresden, linear mystery progression (guess)",Contemporary Chicago + supernatural overlay,,Violence; Occult danger; Supernatural themes,
70,Fool Moon,Jim Butcher,The Dresden Files,2.0,Urban fantasy; Detective fantasy,Identity; Power and corruption; Hidden supernatural world,"Harry Dresden investigates a string of brutal murders connected to werewolves, navigating alliances with law enforcement and supernatural forces in Chicago. ([turn0search0])",352.0,2001,Penguin Putnam,,Adult / fantasy readers,Moderate with rising tension,Dark; Suspenseful; Urban,First-person; conversational detective style,"First-person narration by Harry Dresden, linear investigative structure (guess)",Contemporary Chicago + supernatural overlay,,Violence; Supernatural threats; Occult themes,
71,Grave Peril,Jim Butcher,The Dresden Files,3.0,Urban fantasy; Paranormal thriller,Sacrifice; Life and death; Love and power,"Harry Dresden confronts ghosts and vampires in Chicago, forced to deal with a dark pact from his past and protect those he cares about.",378.0,2001,Penguin Putnam,,Adult / fantasy readers,Moderate to fast; rising supernatural conflict,Dark; Emotional; Tense,First-person; reflective with action,"First-person narration, mostly linear with flashbacks (guess)",Urban environment with supernatural conflict,,Violence; Death; Supernatural peril,
72,Summer Knight,Jim Butcher,The Dresden Files,4.0,Urban fantasy; Political fantasy,Power struggles; Loyalty; Balance between forces,"Harry Dresden becomes embroiled in a dispute between the Summer and Winter Courts of the faerie realm, balancing mortal lives and supernatural risks.",432.0,2002,Roc / Penguin,,Adult / fantasy readers,Moderate; intrigue + conflict,Tense; Mythic; Urban,First-person; dialogue-heavy; descriptive,"First-person narration by Dresden, investigative / quest structure (guess)",Contemporary city + faerie overlays,,Violence; Faerie politics; Death,
73,Blood Rites,Jim Butcher,The Dresden Files,5.0,Urban fantasy; Supernatural thriller,Redemption; Family; Power and consequence,Harry Dresden protects a key witness targeted by supernatural forces while dealing with revelations about his own family and past actions.,512.0,2004,Roc / Penguin,,Adult / fantasy readers,Moderate to fast; high-stakes action,Dark; Intense; Emotional,First-person; introspective + action,"First-person narrator, linear main plot with interwoven subplots (guess)",Urban + supernatural overlay,,Violence; Death; Supernatural threats,
74,Dead Beat,Jim Butcher,The Dresden Files,6.0,Urban fantasy; Occult thriller,Power beyond limits; Knowledge and danger; Sacrifice,"Harry Dresden races to retrieve a dangerous necromantic book while avoiding supernatural and mortal adversaries, and must confront debts and dark forces.",576.0,2005,Roc / Penguin,,Adult / fantasy readers,Fast; quest-driven,Dark; Urgent; High-stakes,First-person; plot-driven with magical detail,"First-person narration by Dresden, quest-arc structure (guess)",Urban + occult zones,,Violence; Necromancy; Death; Dark magic,
75,Proven Guilty,Jim Butcher,The Dresden Files,7.0,Urban fantasy; Mystery fantasy,Justice; Guilt; Hidden threats; Power and responsibility,Harry Dresden investigates a supernatural serial murderer while dealing with political pressure and magical secrets that endanger innocents.,368.0,2006,Roc / Penguin,,Adult / fantasy readers,Moderate; investigative tension,Serious; Suspenseful; Urban,First-person; lean narrative with detective elements,"First-person narration by Dresden, linear investigation with reveals (guess)",Contemporary city + supernatural overlay,,Violence; Supernatural threat; Moral complexity,
76,Changes,Jim Butcher,The Dresden Files,12.0,Urban fantasy; Epic fantasy,Sacrifice; Loss; Destiny; Power change,"Harry Dresden faces a personal and cosmic crisis when his daughter is kidnapped, forcing him to cross supernatural boundaries and confront powerful enemies at any cost.",544.0,2010,Roc / Penguin,,Adult / fantasy readers,Moderate to fast; emotional arcs + action,Dark; Intense; Emotional,First-person; dramatic; introspective,"First-person narration by Dresden, linear with time-pressure structure (guess)",Urban + supernatural realms,,Violence; Loss; Child endangerment; Sacrifice,
77,Skin Game,Jim Butcher,The Dresden Files,15.0,Urban fantasy; Heist fantasy,Trust; Debt; Deception; Consequence,"Harry Dresden is coerced into a high-stakes heist involving a demonically guarded vault of Hades. He must navigate alliances, old debts, and supernatural dangers to succeed.",448.0,2014,Roc / Penguin,,Adult / fantasy readers,Fast; heist + supernatural conflict,Tense; Wry; High-stakes,First-person; witty and plot-driven,"First-person narration by Dresden, heist structure with interwoven character threads (guess)",Urban + supernatural underlayer,,Violence; Occult danger; Risk,
78,The Hunger Games,Suzanne Collins,The Hunger Games,1.0,Dystopian; Young adult; Action,Surveillance and control; Sacrifice; Resistance; Identity,"In Panem, Katniss Everdeen volunteers for the Hunger Games to save her sister, and must survive and strategize in the brutal televised competition while navigating alliances and betrayals.",374.0,2008,Scholastic Press,,Young adult / speculative readers,Moderate to fast; high tension in the games,Gritty; Urgent; Emotional,First-person (Katniss) with vivid immediacy,Three-act structure / Parts structure following Katniss’s journey from selection to climax,Dystopian future; arena + districts,,Violence; Death; Psychological stress; Child endangerment,
79,Catching Fire,Suzanne Collins,The Hunger Games,2.0,Dystopian; Young adult; Action,Rebellion; Inequality; Trauma and survival,"After winning the Hunger Games, Katniss is forced into a new cycle of danger as the Capitol manipulates her and society fractures into rebellion. She must survive politically and physically.",391.0,2009,Scholastic Press,,Young adult / speculative readers,Moderate to fast; political tension + action,Tense; Rebellious; Emotional,First-person (Katniss) with introspective and external conflict,"Multiple arcs in three-part structure following Katniss, Peeta, and rebellion subplots",Dystopian world; arenas; political centers,,Violence; Death; Psychological strain,
80,Mockingjay,Suzanne Collins,The Hunger Games,3.0,Dystopian; Young adult; Political fiction,Rebellion; Trauma; Power and corruption; Sacrifice,"Katniss Everdeen leads the districts in open war against the Capitol, facing betrayal, loss, and political machinations while struggling with her own identity and trauma.",390.0,2010,Scholastic Press,,Young adult / dystopian readers,Moderate to fast; tension and conflict,Dark; Wistful; Fierce,First-person (Katniss) with internal reflection and external conflict,"Three-part structure following escalation, rebellion, and aftermath (guess)","Dystopian Panem: districts, Capitol, war zones",,Violence; Death; Psychological trauma; Child endangerment,
81,Divergent,Veronica Roth,Divergent Trilogy,1.0,Dystopian; Young adult; Action,Identity; Choice; Social division; Courage,"In a highly stratified dystopian society, Tris Prior must choose a faction and discovers she is Divergent — someone who doesn’t fit any faction’s rules. Her difference marks her as a threat to the system.",487.0,2011,Katherine Tegen Books,,Young adult / dystopian readers,Moderate with strong action sequences,Tense; Brave; Introspective,First-person (Tris) with emotional immediacy,"Three acts / parts following Tris: initiation, test, escape (guess)",Dystopian city / utopian social framework,,Violence; Death; Psychological stress,
82,Insurgent,Veronica Roth,Divergent Trilogy,2.0,Dystopian; Young adult; Action,Dissent; Guilt; Choice; Power,"Tris confronts factions collapsing, exposes secrets about society’s foundation, and must face moral dilemmas about alliance, sacrifice, and identity.",525.0,2012,Katherine Tegen Books,,Young adult / dystopian readers,Moderate to fast; high stakes,Urgent; Conflicted; Darkening,First-person (Tris) with introspective and action,"Multiple arcs converging (faction plots, revelations) (guess)",Dystopian city + subterranean sectors,,Violence; Death; Psychological trauma,
83,Allegiant,Veronica Roth,Divergent Trilogy,3.0,Dystopian; Young adult; Sci-fi,Truth and control; Identity; Utopia vs dystopia,"Tris and her companions leave the city walls to explore the world beyond, confronting truths about their society’s origin, and face deep sacrifices for a better future.",526.0,2013,Katherine Tegen Books,,Young adult / dystopian readers,Moderate to fast; revelations + conflict,Reflective; Tense; Somber,First-person (Tris) with shifts during revelations,"Exploration of world, confrontation, resolution arcs (guess)",Wasteland beyond city; experimental society,,Violence; Death; Psychological strain,
84,Annihilation,Jeff VanderMeer,Southern Reach Trilogy,1.0,Weird fiction; Ecological SF; Psychological horror,Unknown nature; Human vs non-human; Identity; Transformation,"An expedition enters Area X, a mysterious and wild place, where all previous groups have disappeared. The biologist-narrator’s observations unravel into disquieting transformations and horror.",195.0,2014,FSG / Fourth Estate,Nebula Award (2014),Adult / speculative readers,Slow to moderate; creeping dread,Eerie; Introspective; Surreal,First-person; reflective and enigmatic,First-person journal / expedition log structure with episodic revelations (guess),Wilderness / alien-nature zone (Area X),,Psychological horror; Body changes; Alien phenomenon,
85,Authority,Jeff VanderMeer,Southern Reach Trilogy,2.0,Weird fiction; Psychological SF,Control; Obsession; Bureaucracy and madness,"Following *Annihilation*, the agency known as the Southern Reach sends new leadership to manage Area X. The plot unspools in internal politics, shifting loyalties, and ambiguity about what is really happening.",256.0,2014,FSG / Fourth Estate,,Adult / speculative readers,Moderate; psychological tension,Claustrophobic; Disturbing; Introspective,Third-person (shifting) internal perspective focus,"Shifting perspectives within organization, uncovering secrets gradually (guess)",Bureaucratic/agency HQ; Area X connections,,Psychological distress; Uncertainty; Ambiguity,
86,Acceptance,Jeff VanderMeer,Southern Reach Trilogy,3.0,Weird fiction; Speculative horror,Resolution; Legacy; Transformation; Integration with nature,"The final installment returns to Area X with multiple characters’ perspectives to confront its origin, the transformations it causes, and the psychological toll of contact with the unknown.",353.0,2014,FSG / Fourth Estate,,Adult / speculative readers,Moderate; mixing reflection with revelations,Haunting; Transcendent; Melancholic,Multiple first-person and third-person focal shifts,Interwoven narrative threads from multiple perspectives converging on Area X revelations (guess),Wilderness; Area X boundary zones,,Psychological strain; Transformation; Ambiguity,
87,The City & The City,China Miéville,,,Weird fiction; Detective fantasy; Speculative,Perception; Boundaries; Identity; Urban politics,"In two overlapping cities, an inspector investigates a murder that seems to cross the invisible boundary between them. The narrative examines perception, jurisdiction, and shared space.",315.0,2009,Macmillan / Del Rey,Hugo Award (2010),Adult / speculative readers,Moderate; mystery-driven,Atmospheric; Cerebral; Urban,Third-person focal with detective style,Single POV detective arc with urban mystery structure (guess),Dual overlapping cities,,Violence; Institutional complexity; Psychological tension,
88,World War Z,Max Brooks,,,Horror; Post-apocalyptic; Documentary fiction,Survival; Humanity; Collective memory; Global crisis,"A global oral history of the zombie apocalypse told through individual testimonies from survivors around the world, mapping the social, political, and psychological impacts of collapse.",342.0,2006,Crown Publishers / Quirk Books,,Adult / speculative readers,Varied; episodic,Reflective; Grim; Realistic,Multiple first-person / interview-style segments,"Framed anthology of interviews and reports (nonlinear, multi-voice) (guess)",Global; collapsed societies,,Violence; Death; Global catastrophe,
89,The Passage,Justin Cronin,The Passage Trilogy,1.0,Post-apocalyptic; Horror; Speculative,Sacrifice; Survival; Hope and despair; Time,"When a government experiment goes wrong, a vampiric virus spreads. Survivors gather in enclaves while a child may hold the key to humanity’s fate over centuries.",766.0,2010,Ballantine Books / Knopf,,Adult / speculative readers,Moderate to slow; epic in scale,Epic; Melancholic; Apocalyptic,Third-person with multiple timelines and characters,Interlaced timelines and character arcs across eras (guess),Post-apocalyptic Earth; survival enclaves,,Violence; Death; Disease; Horror,
90,The Twelve,Justin Cronin,The Passage Trilogy,2.0,Post-apocalyptic; Horror; Speculative,Power & corruption; Hope; Resistance; Time,"Continuing from *The Passage*, survivors cope with vampire reign, conspiracies, and efforts to reclaim civilization, with multiple characters converging to fight for the future.",688.0,2012,Ballantine / Knopf,,Adult / speculative readers,Moderate to fast; interwoven arcs,Dark; Urgent; Expansive,Third-person multiple POVs with shifting timelines,Alternating character arcs and timelines converging on conflict (guess),Post-apocalyptic Earth; multiple locations,,Violence; Horror; Death; Disease,
91,The City of Mirrors,Justin Cronin,The Passage Trilogy,3.0,Post-apocalyptic; Horror; Speculative,Final confrontation; Memory; Sacrifice; Redemption,"In the concluding volume, survivors and warriors unite for a final showdown against the vampire overlords, reclaiming hope, memory, and the future of humanity.",736.0,2016,Knopf / Ballantine,,Adult / speculative readers,Fast; epic resolution,Epic; Resolute; Emotional,"Third-person multiple POVs, sweeping arcs",Converging arcs across past and future timelines (guess),Post-apocalyptic Earth; stronghold zones,,Violence; Death; Horror; Loss,
92,The Silmarillion,J.R.R. Tolkien,Middle-earth Legendarium,,Mythopoeia; High fantasy; Legend,Creation; Fate; Good vs evil; Sacrifice; Power,"A mythic compendium of the creation and early ages of Middle-earth, tracing the rise of the Valar, the Elves, the First Age, and the struggle against Morgoth and Sauron.",365.0,1977,George Allen & Unwin / HarperCollins,,Adult / fantasy readers,Varied; epic cycles,Mythic; Grand; Elevated,"Pseudohistoric, dense, genealogical",Frame narrative + collection of mythic histories (guess),Mythic ages of Middle-earth,,Violence; Cosmic conflict; Tragedy,
93,Unfinished Tales,J.R.R. Tolkien,Middle-earth Legendarium,,Mythopoeia; High fantasy; Legend,Legend and legacy; Power; Fate,"A collection of narratives and essays from Tolkien’s legendarium — stories left incomplete, expanding on characters, events, and locales of *The Silmarillion*, *The Hobbit*, and *The Lord of the Rings*.",472.0,1980,George Allen & Unwin / Unwin Hyman / HarperCollins,,Adult / Tolkien scholars,Varied; fragmentary,Mythic; Scholarly; Reflective,"Collection of essays, tales, and drafts","Nonlinear collection of fragments, tales, and essays (guess)",Various ages and places in Middle-earth,,Violence; War; Tragedy,
94,The Once and Future King,T.H. White,,,Arthurian fantasy; Mythic retelling,Education and ethics; Power and responsibility; Love and betrayal; Idealism vs realpolitik,"A unified telling of King Arthur’s life—from his whimsical education under Merlyn through the rise of Camelot and the tragic unraveling of Arthur, Lancelot, and Guinevere.",639.0,1958,Collins (UK); G.P. Putnam’s Sons (US),,Adult & YA fantasy readers,"Varied; episodic early, reflective later",Wry; Romantic; Tragic,Literary; Allusive; Satirical touches,Four-part omnibus chronicle following Arthur’s arc from youth to downfall,Mythic Britain / Camelot,,Warfare; Betrayal; Death,
95,The Eye of the World,Robert Jordan,The Wheel of Time,1.0,High fantasy; Epic fantasy,Prophecy; Coming of age; Light vs Shadow; Fellowship,Villagers are driven from their home by dark forces and join Moiraine and Lan on a journey that reveals a prophesied hero and a world-spanning conflict.,782.0,1990,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; quest-driven with dense worldbuilding,Mythic; Adventurous; Foreboding,Third-person limited; multiple POVs,Interleaved POV threads converging on the Eye and first confrontation,Broad secondary world across nations and wilds,The One Power; Artifacts; Ancient lore,Fantasy violence; Dark magic; Monsters,
96,The Great Hunt,Robert Jordan,The Wheel of Time,2.0,High fantasy; Epic quest,Duty; Temptation; Identity; Politics,A race to recover the Horn of Valere splits the heroes while the world’s powers and invading forces close in.,600.0,1990,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; alternating pursuit lines,Heroic; Tense; Expansive,Third-person limited; ensemble POV,Alternating quest arcs that collide at the climactic summoning of heroes,"Cities, borderlands, and seaways of the Westlands",The One Power; Ter’angreal; Portal Stones,Fantasy warfare; Possession; Torture,
97,The Dragon Reborn,Robert Jordan,The Wheel of Time,3.0,High fantasy; Epic fantasy,Burden of destiny; Trust; Control of power,"As signs of the Dragon multiply, allies and enemies maneuver while Rand’s path leads to Tear and Callandor.",624.0,1991,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; parallel chases and intrigues,Ominous; Determined; Heroic,Third-person limited; rotating POVs,Multiple threads converging on Tear for the revelation of the Dragon,"Roads, White Tower politics, city-states",The One Power; Dreaming; Callandor,Violence; Mind control; Dark magic,
98,The Shadow Rising,Robert Jordan,The Wheel of Time,4.0,High fantasy; Epic fantasy,Heritage; Culture clash; Fate; Power,"The party divides: to Tanchico, the Two Rivers, and the Aiel Waste, where deep history and prophecy reshape the war against the Shadow.",704.0,1992,Tor Books (US),,Adult / epic fantasy readers,Moderate to slow; layered worldbuilding,Expansive; Reflective; Tense,Third-person limited; broad ensemble,Triptych of major arcs braided across locales toward parallel climaxes,"Aiel Waste, Two Rivers, Tanchico and beyond",The One Power; Ter’angreal; Rhuidean visions,War; Oppression; Supernatural peril,
99,The Fires of Heaven,Robert Jordan,The Wheel of Time,5.0,High fantasy; Military fantasy,Leadership; Cost of war; Prophecy’s price,Rand leads campaigns against the Forsaken and rival rulers while conspiracies and losses mount.,704.0,1993,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; sieges and marches,Grim; Heroic; Tragic notes,Third-person limited; many POVs,Braided warfront and political threads culminating in a major Forsaken clash,Andoran and Cairhienin theaters; wilderness,The One Power in battle; Warder/Aes Sedai bonds,Battle deaths; Manipulation; Trauma,
100,Lord of Chaos,Robert Jordan,The Wheel of Time,6.0,High fantasy; Political fantasy,Order vs chaos; Authority; Coercion,Factions vie to control or destroy Rand as power centers fracture; the battle lines redraw around the Dragon.,720.0,1994,Tor Books (US); Orbit (UK),Locus Award finalist,Adult / epic fantasy readers,Moderate; heavy intrigue with explosive finale,Tense; Dark; Strategic,Third-person limited; wide ensemble,Multiple faction POVs converging on capture-and-rescue climax,"Cities, camps, and battlefields across the Westlands",Aes Sedai politics; The One Power; Warder bonds,Torture; Warfare; Coercion,
101,A Crown of Swords,Robert Jordan,The Wheel of Time,7.0,High fantasy; Political fantasy,Ambition; Alliance-building; Corruption,Rand consolidates rule amid assassination attempts while Mat and others pursue artifacts and plots that reshape the war.,720.0,1996,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; intrigue-forward,Cerebral; Perilous; Wry,Third-person limited; rotating POVs,Parallel court/political arcs intercut with artifact-hunt threads,"Illian, Ebou Dar, and surrounding realms",Ter’angreal; Weaves; Military logistics,Violence; Assassination; Dark magic,
102,The Path of Daggers,Robert Jordan,The Wheel of Time,8.0,High fantasy; Military fantasy,Overreach; Weather and balance; Fractured loyalties,Campaigns and counter-campaigns spiral as control of the Bowl of the Winds and shifting allegiances shape the conflict.,604.0,1998,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; marching-and-maneuver focus,Strategic; Ominous,Third-person limited; ensemble POV,Intercut military and Aes Sedai plots with constrained focal ranges,Various kingdoms and seas,Weather-working ter’angreal; Battle weaves,Warfare; Political coercion,
103,Winter’s Heart,Robert Jordan,The Wheel of Time,9.0,High fantasy; Epic fantasy,Cleansing; Loyalty; Consequence,Personal quests and politics build toward a world-altering act that changes the balance of power.,668.0,2000,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Moderate; payoff-focused climax,Somber; Determined; Hopeful turn,Third-person limited; rotating ensemble,Braided arcs culminating in the cleansing event,Urban strongholds and remote sites,Male/female linked channeling; Sa’angreal,Violence; Ritual peril,
104,Crossroads of Twilight,Robert Jordan,The Wheel of Time,10.0,High fantasy; Political fantasy,Aftershock; Patience; Maneuver,"In the wake of seismic events, factions reposition and spycraft intensifies while armies and plots slowly align.",704.0,2003,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Deliberate; intrigue-heavy,Ominous; Methodical,Third-person limited; wide cast,Multiple slow-burn POV lines advancing political and military setup,"Camps, cities, and courts across the Westlands",The One Power; Espionage methods,Violence; Oppression; Coercion,
105,Knife of Dreams,Robert Jordan,The Wheel of Time,11.0,High fantasy; Epic fantasy,Resolution; Reckoning; Gathering storm,Long-running plotlines snap into action as key enemies are confronted and momentum toward the Last Battle accelerates.,784.0,2005,Tor Books (US); Orbit (UK),,Adult / epic fantasy readers,Faster; event-dense,Urgent; Triumphant; Dark undertow,Third-person limited; ensemble POV,Interleaved arcs with multiple set-piece resolutions,Across nations and battlefields,Battle weaves; Wolfbrother abilities; Dreamwalking,Warfare; Torture; Dark magic,
106,The Gathering Storm,Robert Jordan & Brandon Sanderson,The Wheel of Time,12.0,High fantasy; Epic fantasy,Burden of command; Atonement; Rising darkness,"With Tarmon Gai’don looming, Rand and Egwene face crucible moments that reshape leadership and resistance.",783.0,2009,Tor Books; Orbit Books,,Adult / epic fantasy readers,Fast; focused dual throughlines,Intense; Somber; Resolute,Third-person limited; tighter focal arcs,Alternating major POV blocks culminating in synchronized climaxes,"White Tower, borderlands, and scattered fronts",The One Power; Warder bonds; Ta’veren effects,Torture; War; Psychological trauma,
